"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
899	"Shinju Shi"	1549	5.44	1.071	1.72	"savanna"	"windy:hot:tropical:arid:subartic:artificial temperate"
900	"Shinju Ba"	1549	6.4	1.019	1.85	"savanna:rocky canyon:canyons:fungus forest:desert"	"frozen:superheated:windy:tropical"
901	"Shinju Si"	1549	na	0.456	1.71	"grassy hill:island:bog"	"humid:temperate:artificial temperate:tropical"
902	"Altais I"	849	2.08	1.156	1.22	"desert:urban:glacier:lakes:ice cave"	"arid:superheated:frozen:rocky"
903	"Menkalinan Septimal"	8866	4	0.94	1.62	"savanna:valley:glacier:city:rock arche:field"	"rocky:subartic:artificial temperate:artic:frozen"
904	"Miaplacidus II"	3644	1.99	1.025	1.25	"island:ocean:mountain"	"artificial temperate:frigid"
905	"Miaplacidus XXI"	3644	1.64	0.781	1.28	"cityscape:savanna:vine:rocky island"	"tropical:rocky:temperate:artificial temperate:frozen"
906	"Miaplacidus VII"	3644	1.73	1.045	1.18	"tundra"	"subartic:windy:frozen:rocky"
907	"Quantumara XVIII"	7497	8.01	0.924	2.05	"mountain"	"tropical:humid:artic:windy:hot:frigid"
908	"Quantumara VII"	7497	7.13	1.023	1.91	"acid pool:desert:hill:cave"	"windy:hot:tropical:superheated"
909	"Quantumara III"	7497	6.46	0.984	1.87	"vine:island"	"frigid:arid:temperate:hot:windy"
910	"Quantumara VIII"	7497	4.93	1.194	1.6	"ash:rocky desert:valley:jungle:mountain"	"artic:hot:subartic:arid:tropical:windy"
911	"Alkarab XX"	6733	0.51	0.83	0.85	"toxic cloudsea:cityscape:valley:rocky desert:rocky canyon"	"rocky:windy:artic:temperate"
912	"Mizar Cerberian"	2636	6.37	0.942	1.89	"jungle:ocean:grassy hill:forest:lakes:cityscape:rocky canyon"	"windy:frozen:frigid:temperate:artic:tropical"
913	"Marsic XIII"	569	6.12	1.203	1.72	"city:sea:hill"	"frigid:humid:windy:artificial temperate"
914	"Skyforged Ba"	1354	2.61	0.954	1.4	"valley:ice cave:verdant:rocky canyon:jungle:ocean"	"temperate:hot:artificial temperate:frigid:windy"
915	"Nebulium Centaurios"	9615	7.43	0.865	2.05	"hill"	"superheated"
916	"Nebulium Hermesios"	9615	1.58	0.923	1.2	"reef:forest:glacier:island:lakes:plain:desert:verdant"	"temperate:hot:superheated:frozen:artificial temperate"
917	"Nebulium Sirenios"	9615	2.45	0.813	1.44	"canyons:hill:forest:grassy hill:sea:island:vine:acid pool"	"rocky:temperate:subartic:artic:superheated"
918	"Elkurud II"	6453	1.48	1.27	1.05	"valley"	"subartic:hot:windy"
919	"Inari's Cascade Centaurios"	5921	0.6	0.866	0.89	"rocky canyon:field"	"temperate:humid:subartic:rocky"
920	"Kōkei Labyrinth Helios"	6714	2.31	0.798	1.43	"desert"	"hot"
921	"Tsukiyo Zeta"	2882	0.57	0.653	0.96	"forest:sea:ice canyon:river"	"frigid:hot:windy:artificial temperate"
922	"Tsukiyo Chi"	2882	2.53	1.169	1.29	"mountain"	"superheated:artificial temperate:frigid"
923	"Tsukiyo Upsilon"	2882	4.05	1.063	1.56	"ocean:jungle:sea:grassy hill:swamp:lakes:canyons:vine"	"rocky:artic:humid:windy:frozen:artificial temperate:frigid"
924	"Tsukiyo Alpha"	2882	2.04	0.951	1.29	"verdant:rock arche:river"	"subartic:temperate:rocky"
925	"Elysian Nebula Undecimal"	2337	3.04	1.076	1.41	"canyons:acid pool:river"	"frigid:hot:artificial temperate:humid"
926	"Helionara Selenean"	7199	5.83	1.282	1.66	"rock arche:scrubland:tundra"	"windy:artic:arid"
927	"Helionara Harpian"	7199	2.26	1.208	1.23	"jungle:sea"	"rocky:hot"
928	"Horna Alpha"	9845	2.02	1.074	1.23	"rock arche:verdant:city:vine"	"subartic:frozen:windy:rocky"
929	"Poerava Selenean"	2333	2.45	0.858	1.42	"verdant:fungus forest:cliff"	"arid:superheated:tropical:humid"
930	"Tejat XXII"	5807	5.21	0.899	1.8	"sinkholes:desert"	"rocky:artificial temperate:superheated"
931	"Olympus Anomaly Nonal"	8500	6.33	0.924	1.9	"verdant:tundra"	"subartic:frozen:arid:tropical"
932	"Olympus Anomaly Secant"	8500	2.6	1.278	1.27	"savanna:grassy hill"	"arid:subartic:frozen:temperate:tropical"
933	"Olympus Anomaly Sextant"	8500	1.45	0.623	1.33	"verdant"	"frigid:rocky"
934	"Olympus Anomaly Quartal"	8500	5.16	0.796	1.86	"jungle"	"tropical:subartic:arid:hot"
935	"Yed Prior Tertial"	2990	2.87	1.29	1.31	"fungus forest:rocky island:field:volcano:mountain"	"windy:hot:humid:tropical"
936	"Yed Prior Octal"	2990	4.59	0.744	1.83	"acid pool:rocky canyon:rock arche:jungle:cave"	"tropical:superheated:artificial temperate:arid"
937	"Yed Prior Vigesimal"	2990	1.62	0.819	1.26	"glacier:ice canyon:ice cave"	"humid:hot:artic:rocky:tropical"
938	"Yed Prior Secant"	2990	2.43	1.002	1.34	"rocky desert:field:plateau"	"tropical:frigid:artic:hot:windy:subartic"
939	"Astral Nexus IX"	2292	6.14	1.411	1.63	"valley:cliff"	"arid:windy:tropical:subartic:superheated"
940	"Kurhah Er"	7399	4.21	1.319	1.47	"forest"	"arid:windy:temperate"
941	"Stellarnox XVIII"	367	4.39	0.574	1.97	"forest:fungus forest:savanna:cityscape:tundra:ocean"	"rocky:tropical:subartic:windy:artificial temperate:hot"
942	"Stellarnox VII"	367	3.64	0.752	1.69	"lakes"	"artic:artificial temperate:arid:humid:hot:frigid"
943	"Stellarnox VIII"	367	2.3	1.25	1.23	"hill:valley:lava river"	"tropical:rocky:humid:hot"
944	"Intan Hadean"	7455	3.31	1.124	1.43	"ocean:canyons:urban:ice cave:island:bog"	"rocky:tropical:subartic:humid"
945	"Intan Helios"	7455	1.26	1.042	1.07	"rocky canyon:plain:cityscape:cave:scrubland"	"frozen:arid:windy:frigid"
946	"Marfik XIV"	349	7.26	0.947	1.97	"rock arche"	"frozen:rocky:frigid:temperate:tropical:artic"
947	"Galaxium V"	4456	6.21	1.172	1.74	"rocky desert"	"temperate:artic:windy:artificial temperate"
948	"Ebon Labyrinth Hermian"	3880	8.59	1.022	2.03	"hill"	"frozen:humid:hot:superheated:frigid"
949	"Dombay Persephonian"	4291	1.18	0.87	1.11	"urban:grassland:valley:grassy hill:cave"	"temperate:subartic:windy:frozen"
950	"Bonsai Gaze Olympios"	7623	8.45	1.045	2.01	"field:vine:hill:rock arche:cityscape:rocky island"	"windy:artic:subartic:artificial temperate:rocky"
951	"Bonsai Gaze Museios"	7623	1.05	1.216	0.95	"jungle:volcano:forest:lakes"	"frigid:rocky:hot:tropical"
952	"Bonsai Gaze Eosian"	7623	na	0.822	2.11	"rainforest:forest:jungle"	"frigid:hot:superheated:artificial temperate:windy"
953	"Bonsai Gaze Dionysios"	7623	4.34	0.894	1.69	"cliff:plateau"	"temperate:frozen:windy:artificial temperate:subartic"
954	"Revati Liu"	4396	1.24	0.514	1.34	"fungus forest:cave:swamp:cityscape"	"rocky:subartic:tropical:superheated:humid"
955	"Revati San"	4396	1.23	0.618	1.26	"savanna:river:ash:forest"	"artificial temperate:hot:frozen"
956	"Revati Qi"	4396	2.84	1.122	1.36	"city:ice canyon:rock arche:rainforest:lava river:savanna"	"frigid:arid:temperate:artic:frozen:tropical"
957	"Umbral Silence Ba"	5586	6.73	0.916	1.94	"valley:fungus forest:lava river:bog"	"artic:frigid:subartic:humid:hot:rocky:arid"
958	"Umbral Silence Si"	5586	2.7	1.014	1.39	"fungus forest:rock arche:field:verdant:city"	"temperate:hot:humid"
959	"Umbral Silence Er"	5586	4.96	1.261	1.58	"desert"	"tropical:artic:superheated"
960	"Berehynia Theta"	597	1.62	0.94	1.2	"ice canyon:plain:ice cave:glacier:city"	"arid:hot:subartic"
961	"Berehynia Phi"	597	1	0.838	1.06	"vine:jungle:city:ice cave:plain:sinkholes:mountain"	"temperate:artic:windy:rocky:humid:hot"
962	"Geisha's Mirage Iota"	78	2.8	0.857	na	"ice cave:rocky canyon:volcano:river:ice canyon"	"arid:subartic:rocky"
963	"Geisha's Mirage Mu"	78	na	0.731	1.55	"mountain:cave:fungus forest"	"superheated:artic:hot:subartic:temperate"
964	"Kūkan Cascade Epsilon"	1702	3.16	1.148	1.4	"rocky island:river"	"windy:artificial temperate"
965	"Whalecaller Ba"	5816	2.1	1.193	na	"ice cave"	"subartic:windy:frozen:artificial temperate:hot:artic:rocky"
966	"Whalecaller Jiu"	5816	1.89	0.973	1.25	"valley:reef"	"frigid:windy"
967	"Whalecaller Er"	5816	6.68	0.605	2.23	"canyons:rock arche:rocky canyon:swamp"	"arid:humid:artificial temperate"
968	"Arcanara Tau"	5344	2.2	1.154	1.24	"plateau:cityscape:rocky desert:jungle:sinkholes"	"artificial temperate:hot:arid:frozen"
969	"Jabbah Psi"	989	7.18	0.734	2.14	"cave:cliff:hill:verdant"	"arid:humid:subartic:frozen"
970	"Siriusith Qi"	6621	2.23	0.628	1.53	"grassland:vine:desert"	"temperate:superheated:hot:artic"
971	"Zubenelgenubi Athenian"	901	2.44	1.187	1.27	"sea"	"subartic:artificial temperate:windy"
972	"Alchiba Centaurios"	1259	3.32	1.153	1.42	"jungle:acid pool:desert:savanna"	"windy:subartic:rocky:temperate:tropical"
973	"Alchiba Nereidos"	1259	1.31	0.899	1.13	"volcano:canyons:cityscape:vine:verdant:rocky canyon:desert"	"artificial temperate:tropical:arid:frigid:rocky:superheated"
974	"Alchiba Psychean"	1259	1.98	1.03	1.24	"cliff:jungle"	"humid:temperate:windy:hot"
975	"Astrolithium Vigesimal"	6211	1.65	1.146	1.13	"fungus forest:plain:canyons"	"temperate:artic:humid:artificial temperate:frozen:arid:rocky"
976	"Astrolithium Decimal"	6211	6.29	1.21	1.73	"cliff:rainforest:plateau"	"tropical:frozen"
977	"Astrolithium Secant"	6211	4.54	1.18	1.57	"mountain"	"artificial temperate:frigid"
978	"Alderamin Lambda"	240	8.17	0.738	2.23	"valley"	"artificial temperate:frigid"
979	"Alderamin Epsilon"	240	5.73	0.831	1.9	"verdant:cave:river:barren"	"artic:humid:arid:artificial temperate:tropical"
980	"Alderamin Xi"	240	1.55	1.169	1.1	"sea"	"artificial temperate:rocky"
981	"Alderamin Theta"	240	7.4	0.78	2.12	"cave:forest:cityscape"	"windy:rocky:humid:artic:subartic:artificial temperate"
982	"Cosmogon Enigma Jiu"	5756	3.21	1.1	1.43	"ocean:cliff:volcano:city:grassland"	"superheated:tropical:frozen:humid"
983	"Cosmogon Enigma Shi"	5756	3.7	0.841	1.64	"sinkholes:rocky desert:acid pool"	"arid:frigid:hot:artificial temperate"
984	"Cosmogon Enigma Liu"	5756	2.61	0.893	1.43	"rocky canyon:verdant:city"	"frozen:frigid:artificial temperate:tropical:artic:rocky:subartic"
985	"Cosmogon Enigma Er"	5756	0.63	1.122	0.82	"acid pool:city:tundra:vine:bog"	"humid:frozen:artic:artificial temperate"
986	"Ebon Cosmos III"	8909	2.02	0.97	1.28	"hill"	"humid:artificial temperate:frigid:arid"
987	"Ebon Cosmos XII"	8909	7.7	0.97	1.99	"ice canyon:ice cave"	"humid:temperate:frigid"
988	"Ginan Yi"	3885	0.77	1.064	0.9	"canyons"	"superheated:hot"
989	"Ginan Er"	3885	2.44	0.916	1.39	"desert"	"frozen:hot"
990	"Alsephina Gamma"	837	5.23	1.329	1.58	"sea:lakes"	"temperate:artic"
991	"Nekkar Eta"	838	4.05	1.417	1.42	"lava river"	"superheated:frozen:temperate:hot"
992	"Nekkar Omega"	838	5.99	1.184	1.72	"cave:valley"	"frozen"
993	"Aurora Phantasm Hadean"	8518	8.86	1.105	2	"glacier:cliff:rainforest:rocky canyon"	"humid:temperate:frozen:rocky:arid"
994	"Tianyi XXIII"	3224	2.01	1.232	1.18	"ocean:rocky canyon:rocky island:city:swamp"	"frigid:artificial temperate:subartic:humid"
995	"Shaula XVI"	7109	0.88	0.609	1.13	"canyons:grassland:forest:fungus forest:sinkholes:volcano:ice cave:rocky island"	"temperate:frigid:tropical:superheated:windy:artificial temperate"
996	"Shaula XXIII"	7109	4.77	1.221	1.58	"volcano:field"	"frigid:hot:artificial temperate:superheated:windy"
997	"Shaula I"	7109	0.74	0.973	0.91	"mountain:desert:ice cave:grassland"	"arid:artificial temperate:rocky:humid:frigid:hot"
998	"Shaula X"	7109	5.91	0.756	1.98	"rock arche:grassland:cliff"	"temperate:frozen"
